序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,振幅,昨日封板时间,昨日连板数,涨停统计,所属行业
39,001368,通达创智,-3.9207239151000977,22.3,25.53,255364853,706809092.5,2546093580.0,34.587162017822266,0.0,14.131839752197266,095454,1,2/1,塑料制品
40,002048,宁波华翔,1.2549914121627808,17.75,19.28,1517231712,12598974548.25,14445537880.0,12.05562686920166,0.0,7.130633354187012,094042,1,2/1,汽车零部
41,002093,国脉科技,10.055248260498047,9.96,9.96,141541660,10028387850.0,10034700000.0,1.411409854888916,0.0,0.0,093148,1,2/2,通信服务
42,002105,信隆健康,9.97150993347168,7.72,7.72,496159040,2813723647.0,2841423200.0,17.973896026611328,0.0,6.980057239532471,093012,3,4/4,交运设备
43,002122,汇洲智能,-1.3645224571228027,5.06,5.64,2383603360,10057941822.279999,10122407264.64,22.944618225097656,0.0,8.187134742736816,100351,1,2/1,通用设备
44,002144,宏达高科,-3.6113500595092773,11.21,12.79,200556904,1532171746.94,1981507938.88,12.974384307861328,0.0,3.095442771911621,102039,1,2/1,纺织服装
45,002195,岩山科技,-0.3174603283405304,6.28,6.93,12356897536,35249947795.36,35680100741.12,33.15320587158203,0.0,10.634921073913574,094312,2,3/2,互联网服
46,002236,大华股份,6.545654773712158,19.37,20.0,9028331520,40760693295.53,63836919633.76,22.13132095336914,0.0,7.260726451873779,100633,1,2/1,计算机设
47,002575,群兴玩具,-10.015649795532227,11.5,14.06,1596773328,6650432750.0,7391280000.0,23.78012466430664,0.0,4.694835662841797,134942,1,10/5,房地产服
48,002757,南兴股份,9.986504554748535,24.45,24.45,130023878,6896218368.45,7223897244.0,1.8854373693466187,0.0,0.0,092500,1,2/2,专用设备
49,002760,凤形股份,10.015022277832031,21.97,21.97,456457296,2372511870.8199997,2372511870.8199997,19.657306671142578,0.0,9.364046096801758,093839,1,2/2,通用设备
50,300058,蓝色光标,3.8752362728118896,10.99,12.7,10997548800,26921059127.83,27769572970.72,40.16615295410156,0.0,8.034027099609375,142333,1,2/1,文化传媒
51,300170,汉得信息,1.8926056623458862,23.15,27.26,12472887808,21936802651.05,22799178232.8,53.10771560668945,0.0,17.253520965576172,100057,1,2/1,互联网服
52,300248,新开普,19.985671997070312,16.75,16.75,1910620000,6853335513.25,7978835700.0,28.173513412475586,0.0,7.378223419189453,104821,1,2/2,互联网服
53,300344,立方数科,-7.766213417053223,11.52,14.99,2239853392,7363715224.32,7392457912.32,29.161239624023438,0.0,11.449159622192383,143115,1,2/1,软件开发
54,300378,鼎捷数智,-3.7012112140655518,42.93,53.5,3168525024,11574457326.9,11650894277.76,25.656248092651367,0.0,15.141318321228027,104233,1,2/1,软件开发
55,300819,聚杰微纤,10.010319709777832,21.32,23.26,442632384,2873131170.0,3181050600.0,15.488529205322266,0.0,14.396284103393555,093557,1,2/1,纺织服装
56,300840,酷特智能,11.102544784545898,28.82,31.13,3195306160,4934160695.42,6916800000.0,61.88368606567383,0.0,9.946029663085938,092500,1,2/1,纺织服装
57,301032,新柴股份,-10.99071216583252,11.5,15.5,495533584,1824504037.5,2773034100.0,26.293384552001953,0.0,7.43034029006958,142442,1,2/1,通用设备
58,301208,中亦科技,-6.2361249923706055,46.46,59.46,1453133920,2046519327.6000001,5575202787.6,66.04056549072266,0.0,13.743692398071289,100548,1,2/1,软件开发
59,301280,珠城科技,3.323019027709961,76.8,89.2,723674320,2028487680.0,7503367680.0,38.247920989990234,0.0,15.59262752532959,112348,1,2/1,电子元件
60,301287,康力源,-8.658836364746094,33.44,43.93,290969888,569528344.0,2229444800.0,48.47245788574219,0.0,13.247746467590332,141506,1,2/1,家用轻工
61,301428,世纪恒通,-10.638692855834961,48.13,64.63,1022909584,2945395582.71,4748826682.71,33.83540725708008,0.0,5.7927961349487305,145630,1,2/1,互联网服
62,301607,富特科技,2.2231123447418213,51.04,59.92,481895680,1204064070.8799999,5666183703.84,40.24847412109375,0.0,8.812336921691895,143300,1,2/1,汽车零部
63,301608,博实结,-1.2279624938964844,112.61,136.81,500412704,2004762047.0,10021163900.0,24.871356964111328,0.0,9.91141128540039,094739,1,2/1,计算机设
64,600588,用友网络,10.011000633239746,20.0,20.0,6899669504,68339948180.0,68339948160.0,10.331682205200195,0.0,7.920792102813721,093031,1,2/2,软件开发
65,600589,大位科技,-2.884615421295166,7.07,8.01,3302813328,10452782122.300001,10452782108.16,30.68207359313965,0.0,9.89011001586914,093451,2,11/7,互联网服
66,600714,金瑞矿业,10.0,12.87,12.87,461321424,3708828633.5099998,3708828620.64,12.6133394241333,0.0,8.461538314819336,134422,1,2/2,化学原料
67,600728,佳都科技,9.931507110595703,6.42,6.42,484543552,13756802867.7,13756802912.64,3.5222103595733643,0.0,0.0,133308,1,2/2,软件开发
68,603039,泛微网络,9.823473930358887,81.5,81.63,1038368192,21239150449.5,21239150449.5,4.963687896728516,0.0,7.141894817352295,092504,1,2/1,软件开发
69,603048,浙江黎明,9.995217323303223,23.0,23.0,603162656,3378240000.0,3378240000.0,18.33506965637207,0.0,14.203730583190918,092500,3,4/4,汽车零部
70,603219,富佳股份,-4.037420272827148,19.49,22.34,492300672,10941686000.0,10941686000.0,4.398591041564941,0.0,7.877892971038818,094156,1,2/1,家电行业
71,603270,金帝股份,3.7812039852142334,28.27,29.96,1097544448,1999160176.09,6194145476.09,53.89158248901367,0.0,12.041115760803223,094119,1,2/1,通用设备
72,603300,海南华铁,10.034305572509766,12.83,12.83,10556058880,25311126524.53,25311126434.72,42.58774948120117,0.0,5.746140480041504,092502,2,3/3,专用设备
73,603315,福鞍股份,0.899550199508667,13.46,14.67,432565424,4222755513.44,4312937621.12,10.120523452758789,0.0,5.247376441955566,130012,1,2/1,通用设备
74,603577,汇金通,-2.51916766166687,8.9,10.04,290278720,3018337990.0,3018338025.6,9.438819885253906,0.0,4.709748268127441,102425,1,2/1,电网设备
